Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1789523005520021,00000280,false,Rx,0,8,14,BB,5C,5D,01,88,9C,03,
-1789523005518869,00000280,false,Rx,0,8,04,4E,F8,00,00,00,00,00,
-1789523005517632,00000006,false,Rx,0,4,25,00,00,00,00,00,00,00,
-1789523005463574,00000102,false,Rx,0,8,00,00,64,66,60,64,7B,00,
-1789523005462593,00000104,false,Rx,0,8,04,7F,00,7F,00,2C,0F,00,
-1789523005461612,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1789523005457430,00000288,false,Rx,0,5,06,10,FF,FF,FF,00,00,00,
-1789523005456236,00000288,false,Rx,0,8,04,00,26,BA,3D,96,0D,00,
-1789523005455340,00000288,false,Rx,0,7,04,01,19,5E,C3,F2,2E,00,
-1789523005454273,00000288,false,Rx,0,8,04,02,9C,06,2A,2F,0E,00,
-1789523005453334,00000288,false,Rx,0,7,04,03,7D,EF,71,15,2E,00,
-1789523005452481,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
-1789523005419244,00000280,false,Rx,0,8,14,BB,5C,5D,01,89,9C,00,
-1789523005418178,00000280,false,Rx,0,8,04,4E,F8,00,00,00,00,00,
-1789523005363437,00000102,false,Rx,0,8,00,00,64,66,60,63,7B,00,
-1789523005362456,00000104,false,Rx,0,8,04,7F,00,7F,00,2D,0F,00,
-1789523005361475,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1789523005357421,00000288,false,Rx,0,5,06,10,FF,FF,FF,00,00,00,
-1789523005356525,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
-1789523005318425,00000280,false,Rx,0,8,14,BB,5C,5D,01,89,9C,00,
-1789523005317614,00000280,false,Rx,0,5,10,5C,5D,39,03,00,00,00,
-1789523005263457,00000102,false,Rx,0,8,00,00,64,66,60,63,7B,00,
